Date, Population, Annual Change
12/1/00,530000,
12/1/01,544000,2.64
12/1/02,565000,3.86
12/1/03,587000,3.89
12/1/04,599000,2.04
12/1/05,615000,2.67
12/1/06,628000,2.11
12/1/07,645000,2.71
12/1/08,684000,6.05
12/1/09,724000,5.85
12/1/10,756000,4.42
12/1/11,773000,2.25
12/1/12,801000,3.62
12/1/13,828000,3.37
12/1/14,871000,5.19
12/1/15,922000,5.86
12/1/16,924000,0.22
12/1/17,895000,-3.14
12/1/18,865000,-3.35
12/1/19,898000,3.82
12/1/20,962000,7.13
12/1/21,997000,3.64
12/1/22,1044000,4.71
12/1/23,1097000,5.08
12/1/24,1160000,5.74
12/1/25,1264000,8.97
12/1/26,1368000,8.23
12/1/27,1418000,3.65
12/1/28,1433000,1.06
12/1/29,1445000,0.84
12/1/30,1471000,1.8
12/1/31,1493000,1.5
12/1/32,1521000,1.88
12/1/33,1552000,2.04
12/1/34,1585000,2.13
12/1/35,1613000,1.77
12/1/36,1651000,2.36
12/1/37,1709000,3.51
12/1/38,1771000,3.63
12/1/39,1836000,3.67
12/1/40,1915000,4.3
12/1/41,2017000,5.33
12/1/42,2151000,6.64
12/1/43,2451000,13.95
12/1/44,2420000,-1.26
12/1/45,2465000,1.86
12/1/46,2440000,-1.01
12/1/47,2528000,3.61
12/1/48,2578000,1.98
12/1/49,2668000,3.49
12/1/50,2810000,5.32
12/1/51,2980000,6.05
12/1/52,3157000,5.94
12/1/53,3310000,4.85
12/1/54,3505000,5.89
12/1/55,3747000,6.9
12/1/56,4047000,8.01
12/1/57,4372000,8.03
12/1/58,4630000,5.9
12/1/59,4808000,3.84
12/1/60,5004000,4.08
12/1/61,5243000,4.78
12/1/62,5458000,4.1
12/1/63,5628000,3.11
12/1/64,5781000,2.72
12/1/65,5954000,2.99
12/1/66,6104000,2.52
12/1/67,6242000,2.26
12/1/68,6433000,3.06
12/1/69,6641000,3.23
12/1/70,6791418,2.26
12/1/71,7158304,5.4
12/1/72,7511463,4.93
12/1/73,7913696,5.35
12/1/74,8298762,4.87
12/1/75,8518422,2.65
12/1/76,8667379,1.75
12/1/77,8856183,2.18
12/1/78,9102032,2.78
12/1/79,9426159,3.56
12/1/80,9839835,4.39
12/1/81,10192774,3.59
12/1/82,10471407,2.73
12/1/83,10749851,2.66
12/1/84,11039925,2.7
12/1/85,11351118,2.82
12/1/86,11667505,2.79
12/1/87,11997283,2.83
12/1/88,12306395,2.58
12/1/89,12637715,2.69
12/1/90,13018365,3.01
12/1/91,13289497,2.08
12/1/92,13504775,1.62
12/1/93,13713593,1.55
12/1/94,13961798,1.81
12/1/95,14185403,1.6
12/1/96,14426911,1.7
12/1/97,14683350,1.78
12/1/98,14908230,1.53
12/1/99,15111244,1.36
12/1/00,16047515,6.2
12/1/01,16356966,1.93
12/1/02,16689370,2.03
12/1/03,17004085,1.89
12/1/04,17415318,2.42
12/1/05,17842038,2.45
12/1/06,18166990,1.82
12/1/07,18367842,1.11
12/1/08,18527305,0.87
12/1/09,18652644,0.68
12/1/10,18846143,1.04
12/1/11,19055607,1.11
12/1/12,19302016,1.29
12/1/13,19551678,1.29
12/1/14,19853880,1.55
12/1/15,20219111,1.84
12/1/16,20627237,2.02
12/1/17,20977089,1.7
12/1/18,21254926,1.32
12/1/19,21492056,1.12
12/1/20,21589602,0.45
12/1/21,21828069,1.1
12/1/22,22244823,1.91
